continent,location,date,population,rolling_people_vaccinated,rolling_people_vaccinated_percentage
Asia,China,2021-04-30,1439323774,265064000,18.42
Asia,China,2021-04-29,1439323774,253463000,17.61
Asia,China,2021-04-28,1439323774,243905000,16.95
North America,United States,2021-04-30,331002647,240159677,72.56
North America,United States,2021-04-29,331002647,237360493,71.71
Asia,China,2021-04-27,1439323774,235976000,16.39
North America,United States,2021-04-28,331002647,234639414,70.89
North America,United States,2021-04-27,331002647,232407669,70.21
North America,United States,2021-04-26,331002647,230768454,69.72
Asia,China,2021-04-26,1439323774,229489000,15.94
North America,United States,2021-04-25,331002647,228661408,69.08
North America,United States,2021-04-24,331002647,225640460,68.17
Asia,China,2021-04-25,1439323774,224901000,15.63
North America,United States,2021-04-23,331002647,222322230,67.17
Asia,China,2021-04-24,1439323774,220309000,15.31
North America,United States,2021-04-22,331002647,218947643,66.15
Asia,China,2021-04-23,1439323774,216084000,15.01
North America,United States,2021-04-21,331002647,215951909,65.24
North America,United States,2021-04-20,331002647,213388238,64.47
North America,United States,2021-04-19,331002647,211581309,63.92
Asia,China,2021-04-22,1439323774,211223000,14.68
North America,United States,2021-04-18,331002647,209406814,63.26
North America,United States,2021-04-17,331002647,205871913,62.20
Asia,China,2021-04-21,1439323774,204191000,14.19
North America,United States,2021-04-16,331002647,202282923,61.11
Asia,China,2021-04-20,1439323774,198950000,13.82
North America,United States,2021-04-15,331002647,198317040,59.91
Asia,China,2021-04-19,1439323774,195022000,13.55
North America,United States,2021-04-14,331002647,194791836,58.85
North America,United States,2021-04-13,331002647,192282781,58.09
Asia,China,2021-04-18,1439323774,192127000,13.35
Asia,China,2021-04-17,1439323774,189809000,13.19
North America,United States,2021-04-12,331002647,189692045,57.31
Asia,China,2021-04-16,1439323774,187360000,13.02
North America,United States,2021-04-11,331002647,187047131,56.51
Asia,China,2021-04-15,1439323774,183536000,12.75
North America,United States,2021-04-10,331002647,183467709,55.43
Asia,China,2021-04-14,1439323774,179216000,12.45
North America,United States,2021-04-09,331002647,178837781,54.03
Asia,China,2021-04-13,1439323774,175623000,12.20
North America,United States,2021-04-08,331002647,174879716,52.83
Asia,China,2021-04-12,1439323774,171928000,11.95
North America,United States,2021-04-07,331002647,171476655,51.81
